agent,score,win%,wins,draws,losses,games
hydra.py,28.0,0.806,29,4,3,36
archive/lucker.py,18.0,0.417,15,16,5,36
archive/bumble.py,15.5,0.528,19,9,8,36
public/decision_tree.py,8.5,0.222,8,19,9,36
archive/meta_fix.py,3.5,0.194,7,17,12,36
public/decision_tree_2.py,2.5,0.306,11,11,14,36
public/rfind.py,2.5,0.306,11,11,14,36
archive/testing.py,-3.5,0.139,5,15,16,36
archive/dllu1.py,-5.5,0.194,7,11,18,36
archive/IO2.py,-7.5,0.167,6,11,19,36
